"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","Enabled"
5700,10345033,"XXX","FIL FULL LEV ANA 2.25 DIS 0318",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,50520749,"XXX","BULO-BULON ACERO INOX.MET.7X1.00 20MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,129528,"XXX","LEVITE LIMONADA C/T FRUT SG 600CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
5700,50515630,"XXX","L5SO-JUEGO DE 6 BUJES DE ANCLAJE-P027",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520917,"XXX","BULO-TORNILLO ALLEN C/C M4X0.70 30MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,10215301,"XXX","PREMIX SODIUM SELENITE 0.1 %",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
4200,10215293,"XXX","VITAMIN MIX NUTRILON SOY 1",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
5700,10320678,"XXX","9440-VASOS 180 X 2800",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,"20170908 00:09:00",5700,5700,
5700,10357146,"XXX","FIL LEV 2.5 ANA  0718",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,"20200629 00:06:00",5700,5700,
5700,126098,"XXX","WE LIMON CG 2250CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
5700,50509762,"XXX","L5LL-TUERCA EN AC INOX 3/16 PULGADA-P057",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50667838,"XXX","L3SO-SOPORTE DE RIEL COD 01126903101",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516769,"XXX","SOL4- VARILLA 1062220400",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50789569,"XXX","GRAL-MECA-PERILLA 1/2 GIRO MACHO M 8",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50521757,"XXX","BULO-VALV GLOBO BRON 150 LB.1IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,10418344,"XXX","TRIL NUTRIDRINK MAX PO BAUNILHA SACHET",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
5700,50516601,"XXX","SOL4- TURNELA TUERCA 13323",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519063,"XXX","LAL5-DISTANCIADOR  173326001-0",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,125836,"XXX","VILLAVICENCIO PET CG 1500CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,0,5700,5700,
5700,10336826,"XXX","ETI LEV FRU-LIM 1.5L LEGA 1117",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516126,"XXX","L5SO-PINZA SMC MHZL2-25D-P134",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50510930,"XXX","L4SO-RESORTE 2-2500217 PISTON FRENO-P064",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50515028,"XXX","GROR-ORING EPDM O VITON   2-211-P054",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50516317,"XXX","SOL2-Carrier mit Welle 94167568",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50519308,"XXX","OZL2-ELIMINA AIRE EAS 30 3/4 801160001",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50518570,"XXX","LBL3-KIT DE RECAMBIO  791540042",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50521970,"XXX","BCCT-ACOPL MANCHON GUMMI A- 70",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50513844,"XXX","L6BA-CORREA DENTADA-P003",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50517846,"XXX","PAL3-E02B04000001 RESISTENCIA 150 OHM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520612,"XXX","BULO-BULON ACERO PULIDO W 3/8X4IN",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,50788125,"XXX","SICA LAMPARA DE BAJO CONSUMO 105 W",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
4200,50788551,"XXX","GRAL-ROD-UC 207 D1V22",0,0,0,0,,,"UN","UN",4200,0,0,0,0,0,0,4200,4200,
5700,50846661,"XXX","L2SO-Mandril CASQUILLO",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50892111,"XXX","COMP-  VALVULA SOLENOIDE",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,125829,"XXX","NUTRIMAMA PROFUTURA MANZANA 6 X 500CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20170908 00:09:00",5700,5700,
5700,50786746,"XXX","L1SO-Tubo flexible 2S N51. L 1650 90-90",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50730212,"XXX","L5SO-SIDE-ROTULA JA 30-10-125",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
