"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","Enabled"
5700,10345033,"XXX","FIL FULL LEV ANA 2.25 DIS 0318",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,0,5700,5700,
5700,50520749,"XXX","BULO-BULON ACERO INOX.MET.7X1.00 20MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,129528,"XXX","LEVITE LIMONADA C/T FRUT SG 600CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
5700,50515630,"XXX","L5SO-JUEGO DE 6 BUJES DE ANCLAJE-P027",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
5700,50520917,"XXX","BULO-TORNILLO ALLEN C/C M4X0.70 30MM",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,0,5700,5700,
4200,10215301,"XXX","PREMIX SODIUM SELENITE 0.1 %",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
4200,10215293,"XXX","VITAMIN MIX NUTRILON SOY 1",0,0,0,0,,,"KG","KG",4200,0,0,0,0,0,0,4200,4200,
5700,10320678,"XXX","9440-VASOS 180 X 2800",0,0,0,0,,,"UN","UN",5700,0,0,0,0,0,"20170908 00:09:00",5700,5700,
5700,10357146,"XXX","FIL LEV 2.5 ANA  0718",0,0,0,0,,,"KG","KG",5700,0,0,0,0,0,"20200629 00:06:00",5700,5700,
5700,126098,"XXX","WE LIMON CG 2250CC",0,0,0,0,,,"BT","BT",5700,0,0,0,0,0,"20210715 00:07:00",5700,5700,
