"SupplierNumber","CorporateGroupID","Name1","Name2","POBox","Street","PostalCode","City","CountryCoded","TelephoneNumber","FaxNumber","VATRegistrationNumber","TaxNumber1","TaxNumber2"
20152837,4200,"WILLY A. BACHOFEN AG","SN ARG",,"JUNKERMATTSTRASSE 11 11",4132,"MUTTENZ","CH",,,"CHE105966896",,
20201450,4200,"CON-SER S.A.","DAN ARG",,"INT. GARRAHAN 348",1748,"GRAL RODRIGUEZ","AR",,,,30569613392,9028712325
20090063,4200,"BENEO-ORAFTI S.A.","SUDZUCKER",,"RUE LOUIS MARÉCHAL 1",4360,"OREYE","BE",3219679401,19679424,"BE0413631556",,
20105370,4200,"CARGILL BV","CARGILL",,"NIJVERHEIDSSTRAAT 1","4551 LA","SAS VAN GENT","NL",115459462,115453497,"NL002230185B01",,
20138061,4200,"CARGILL NV","CARGILL",,"BEDRIJVENLAAN 9",2800,"MECHELEN","BE",51332271,3251332671,"BE0405546706",,
20095609,4200,"DSM NUTRITIONAL PRODUCTS EUROPE LTD","DSM",2676,"WURMISWEG 576",4303,"KAISERAUGST","CH",442189746,"46857 3116","CHE116320592MWST",,
20153638,4200,"DSM PROD NUTRICIONAIS BRASIL SA","DSM PRODUT",,"ROD SANTOS DUMONT SP 075 SN",13053050,"CAMPINAS","BR","19 3765 8900","00 0000 0000",,56992951002192,79554368011
20154856,4200,"DUPONT DANMARK APS","EX DANISCO",,"LANGEBROGADE 1",1411,"COPENHAGEN K","DK",,,"DK58158828",,
20307273,4200,"RIOS GRADIN S.A.","SN ARG",,"ESTADOS UNIDOS 972",1101,"CAPITAL FEDERAL","AR",1145526033,,,30709127426,
20095582,4200,"GIVAUDAN INTERNATIONAL AG","GIVAUDAN",,"NEUGUTSTRASSE 46 46",8600,"DÜBENDORF","CH",228408317,228408316,"CHE116284588",,
20090148,4200,"INGREDION GERMANY GMBH","INGREDION",,"GRUENER DEICH 110",20097,"HAMBURG","DE",4023915400,4023915400,"DE814591607",,
20137941,4200,"KYOWA HAKKO EUROPE GMBH",,,"AM WEHRHAHN 50,",40211,"DUSSELDORF","DE",49211175450,4921117545442,"DE121300368",,
20137931,4200,"RETTENMAIER BENELUX C.V.",,,"DE STOVEN 41","7206 AZ","ZUTPHEN","NL","0031 575 510333","0031 575 519950","NL855863912B01",,
20141714,4200,"SOLAE EUROPE SA","SOLAE EURO",,"CHEMIN DU PAVILLON 2",1218,"LE GRAND-SACCONNEX","CH",,,"CHE101505929",,
20183163,4200,"VITABLEND NEDERLAND B.V.","VITABLEND",,"FRISAXSTRAAT 1","8471 ZW","WOLVEGA","NL",561691888,561614501,"NL814886279B01",,
20328124,4200,"MATHIESEN ARGENTINA SA",,,"LARRAZABAL AV. 1648",1440,"CCAPITAL FEDERAL","AR",1160916900,,,30576347460,
20195452,4200,"ESCO ARGENTINA S.A.",,,"AV LA PLATA 1522",1071,"CAPITAL FEDERAL","AR","4 920 7100",,,30657074787,9019842617
10007027,4200,"NABUURS DC NUTRICIA CUIJK","VP TECHN P",,"Schuttersweg 14b","5443 PR","Haps","NL",,,,,
20147330,4200,"DELAFRUIT S.L.U.","GO FRUSELV",,"AV. CARINTIA, S/N, POLIGONO MILLENI",43470,"LA SELVA DEL CAMP","ES",34673444389,"977 845 762","ESB61690848","B61690848",
10006235,4200,"BLEDINA STEENVOORDE FACTORY","HO GOLDEN",,"Rue Remy Goetgheluck",59114,"Steenvoorde","FR","33 3 28 42 61 00","33 3 28 42 61 08","FR00301374922",,
20336765,4200,"AXIA SA","SN ARG",,"RUTA 19 KM 4.8",3016,"SANTO TOME","AR",3424749410,,,30708995181,
10006875,4200,"Nutricia Zakłady Produkcyjne Sp. z.","HO GOLDEN",,"Marka z Jemielnicy 1",45578,"Opole","PL","48 77 40 22 200",,"PL7540335340","754-033-53-40",
20279267,4200,"MATAFUEGOS DONNY S.R.L.","SN ARG",,"GRAL RODRIGUEZ 2838",1416,"CAPITAL FEDERAL","AR",,,,30627028969,"901-942873-"
20279262,4200,"ECOFILT SA","SN ARG",,"SUIPACHA 2971",1650,"SAN MARTIN","AR",,,,30615555769,"901-922504-"
20279272,4200,"TEC INSTRUMENTAL SA","SN ARG",,"RUIZ HUIDOBRO 2543",1000,"CAPITAL FEDERAL","AR",,,,30641504579,"901-953718-"
20279268,4200,"DHL GLOBAL FORWARDING ( ARGENTINA)","SN ARG",,"BERANRDO DE IRIGOYEN 308 PISO1",1000,"CAPITAL FEDERAL","AR",,,,30584715932,"901-150633-"
20279273,4200,"FIMANN DE RATZMANN NICOLAS Y FISCEL","SN ARG",,"LARREA 2344",1744,"MORENO","AR",,,,30596551765,
20279276,4200,"AUTOGOMA BERNAL S A","SN ARG",,"ZAPIOLA 515",1876,"BERNAL","AR",,,,30555752675,"30-55575267"
20279274,4200,"MOVILMAT S.A.","SN ARG",,"VELEZ SARSFIELD 2359",1640,"MARTINEZ ","AR",,,,30576197183,10000000000
20279280,4200,"MARTINI OSCAR ALBERTO","SN ARG",,"PEDRO LAGRAVE 311",1629,"CAPITAL FEDERAL","AR",,,,20047450226,"20-04745022"
20279279,4200,"LEXTRAL S R L","SN ARG",,"CALLE 22",1650,"SAN MARTIN","AR",,,,30502821403,"30-50282140"
20279277,4200,"ESTABLECIMIENTOS ELECTROMECANICOS M","SN ARG",,"ROSALES 2620",1636,"OLIVOS","AR",,,,30568794296,
20279281,4200,"LABTESA LABORATORIOS TERMOIONIC S A","SN ARG",,"BRANDSEN 2921/33",1702,"CAPITAL FEDERAL","AR",,,,30583013608,"901-926974-"
