"SupplierNumber","CorporateGroupID","Name1","Name2","POBox","Street","PostalCode","City","CountryCoded","TelephoneNumber","FaxNumber","VATRegistrationNumber","TaxNumber1","TaxNumber2"
20152837,4200,"WILLY A. BACHOFEN AG","SN ARG",,"JUNKERMATTSTRASSE 11 11",4132,"MUTTENZ","CH",,,"CHE105966896",,
20201450,4200,"CON-SER S.A.","DAN ARG",,"INT. GARRAHAN 348",1748,"GRAL RODRIGUEZ","AR",,,,30569613392,9028712325
20090063,4200,"BENEO-ORAFTI S.A.","SUDZUCKER",,"RUE LOUIS MARÉCHAL 1",4360,"OREYE","BE",3219679401,19679424,"BE0413631556",,
20105370,4200,"CARGILL BV","CARGILL",,"NIJVERHEIDSSTRAAT 1","4551 LA","SAS VAN GENT","NL",115459462,115453497,"NL002230185B01",,
20138061,4200,"CARGILL NV","CARGILL",,"BEDRIJVENLAAN 9",2800,"MECHELEN","BE",51332271,3251332671,"BE0405546706",,
20095609,4200,"DSM NUTRITIONAL PRODUCTS EUROPE LTD","DSM",2676,"WURMISWEG 576",4303,"KAISERAUGST","CH",442189746,"46857 3116","CHE116320592MWST",,
20153638,4200,"DSM PROD NUTRICIONAIS BRASIL SA","DSM PRODUT",,"ROD SANTOS DUMONT SP 075 SN",13053050,"CAMPINAS","BR","19 3765 8900","00 0000 0000",,56992951002192,79554368011
20154856,4200,"DUPONT DANMARK APS","EX DANISCO",,"LANGEBROGADE 1",1411,"COPENHAGEN K","DK",,,"DK58158828",,
20307273,4200,"RIOS GRADIN S.A.","SN ARG",,"ESTADOS UNIDOS 972",1101,"CAPITAL FEDERAL","AR",1145526033,,,30709127426,
20095582,4200,"GIVAUDAN INTERNATIONAL AG","GIVAUDAN",,"NEUGUTSTRASSE 46 46",8600,"DÜBENDORF","CH",228408317,228408316,"CHE116284588",,
