"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,"CAJA",,"Articulo generico carton",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                        "
5700,"CAPUCHON AF-01",,"Capuchón cereal ARITOS x 10 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                        "
5700,"CAPUCHON BC-01",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-02",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-05",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-16",,"Capuchón CEREAL con MIEL x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"CAPUCHON BC-20",,"Capuchón cereal Corn Flake con miel x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,"CAPUCHON CBE-00",,"Capuchón cereal Crunch Berries x 20gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                "
5700,"CAPUCHON CFL-14",,"CAPUCHON COFLER gotitas de leche - NAFER x 25 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,"CAPUCHON CFL-15",,"CAPUCHON COFLER gotitas de leche - NAFER",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
5700,"CAPUCHON CFL-17",,"CAPUCHON COFLER gotitas de leche - NAFER x 22.5 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                   "
5700,"CAPUCHON CHL-14",,"CAPUCHON CHOCOLINAS - NAFER  x 20 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,"CAPUCHON CHO-10",,"CAPUCHON cereal con CHOCOLATE x 10 gr - YOGUR",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                        "
5700,"CAPUCHON CK-00",,"Capuchon Cookies con Chips",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                            "
5700,"CAPUCHON CM-05",,"Capuchón Muesli x 17 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                               "
5700,"CAPUCHON CND-14",,"CAPUCHON CINDOR chips de chocolate - NAFER  x 20 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                  "
5700,"CAPUCHON CND-15",,"CAPUCHON CINDOR chips de chocolate - NAFER",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,"CAPUCHON DF-12",,"Capuchón CEREAL NATURAL x 12 gr para GRAN COMPRA descremado",,,,,,02/05/2023,,,,,,,,,,,,"                                                                           "
