"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,"CAJA",,"Articulo generico carton",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                        "
5700,"CAPUCHON AF-01",,"Capuchón cereal ARITOS x 10 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                                        "
5700,"CAPUCHON BC-01",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-02",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-05",,"Capuchón cereal Corn Flake con miel x 14gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,"CAPUCHON BC-16",,"Capuchón CEREAL con MIEL x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                      "
5700,"CAPUCHON BC-20",,"Capuchón cereal Corn Flake con miel x 16 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,"CAPUCHON CBE-00",,"Capuchón cereal Crunch Berries x 20gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                "
5700,"CAPUCHON CFL-14",,"CAPUCHON COFLER gotitas de leche - NAFER x 25 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,"CAPUCHON CFL-15",,"CAPUCHON COFLER gotitas de leche - NAFER",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
