EMPRESA,MATERIAL,DESCRIP,MEDIDA,MEDIDASTOCK,CUBICAJE,PESONETO,PESOBRUTO,PLANTA,TOLERANCIA,CODPROV,CONVUNIDADES,PRODGENERICO,PRECIOLANDED,CODCLI,FBAJA,GRUPO1,DESGRUPO1,GRUPO2,DESGRUPO2,GRUPO3,DESGRUPO3,GRUPO4,DESGRUPO4,GRUPO5,DESGRUPO5,GRUPO6,DESGRUPO6
7103,50000266,"FILTRO GORA SR-219 40 MICRONES",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000267,"FILTRO VILEDON P-100 (U.C.)MANTO FILTR",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000268,"|",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000269,"FILTRO AIRE ULTRAFILTER P-SRF 05/20 1C22",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000270,"DESUMECTADOR CON AROS FILTRO AIRE A TITA",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000271,"AIRE / VAPOR FILTRO VAPOR/AIRE ULTRAFILT",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000272,"AGUA FILTRO AGUA GORA PFC-19 PN (EX PPS1",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000273,"FILTRO EXPOMETAL EM75 METALICO DE 598X",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000274,"CENTRO DE POLVO AIRE SOPLADORES FILTRO P",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000275,"FILTRO MET-POR M-15-R10 A CARTUCHO",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000276,"TABLEROS CONTROL/POTENCIA PROCESO FILTRO",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
7103,50000277,"AIRE FILTRO AIRE ULTRAFILTER SMF 02/05",,"UN","0.000","0.000","0.000","","","","","","","","","7103","7103","7103","7103","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407","ZSP1","W051407"
